,title,link
77,新刊速递：2018年第4期封面＋目录,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135596&idx=1&sn=7b211956a3fc78b3f5b7db139cb627ed&chksm=845a8b99b32d028ff3a6cedcb129370b551a5890d9de2cc6cb62c1e38e49012b9962057e6960#rd
78,《读书》首发 | 万俊人：“ 正义排放”的道德共识,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135589&idx=1&sn=4403afe05a05db5205b3928603fe53de&chksm=845a8b90b32d0286455e8c802e8a48bb0842ffe8e8c778c6858f17928f7d9eec702d8e3b537a#rd
79,读书与自学 | 李培林：经济社会学思潮与罗桑瓦龙,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135551&idx=1&sn=f6dbd49fd33cb1540da9ec0dd9414c66&chksm=845a8b4ab32d025c1f6a3897f8e4e0f472e27da2c236e3eca34c2c46492e571bf11ec894f7dd#rd
80,《读书》服务日讲座 | 第二讲：李希霍芬的地理学与丝绸之路,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135551&idx=2&sn=c08d7742ccb8d74505583f819b1be663&chksm=845a8b4ab32d025c585fa8bd8ca66e6816366ebc0c39e30dbf879c13e259eefcc39eea54c669#rd
81,新刊 | 梁永佳：发现“他性”关联：“洞经会”与“莲池会”的启示,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135542&idx=1&sn=3c7b116167515361f03655ca07347c2c&chksm=845a8b43b32d0255fad068048ae3470175dac338180247661042d3bdc11eb9067f791c33191a#rd
82,《读书》服务日讲座 | 第二讲：李希霍芬的地理学与丝绸之路,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135542&idx=2&sn=1982428f7738e4fe9a08f3c5140e1102&chksm=845a8b43b32d025518ea8374661604933550c1f0ceababb3d2d503b7b4bcfc72672a8fa82825#rd
83,新刊 | 陈泳超：纪晓岚的“新疆关怀”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135535&idx=1&sn=5b5b7dcf1643f795c1327034758d9a99&chksm=845a8b5ab32d024c29410dc7c970d70e70c2d47a48e396c56429e2f6eddcb7411c5d1bddf121#rd
84,读书与自学 | 周雪光：制度是如何思维的,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135525&idx=1&sn=fe2e914227078b24d260120d48f967a3&chksm=845a8b50b32d0246050ac651bab5bcca2a05b58050378a89898170e3f97cd6131accc275083d#rd
85,新刊 | 昝涛：土耳其国父凯末尔的思想世界,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135520&idx=1&sn=70cfb906812f59bc89042bd6cce85c5b&chksm=845a8b55b32d02439dde8aa191b44b5441793e251fff85bd61dd9612e4c70d256e50529ad61b#rd
86,新刊 | 朱也旷：宇宙学家的“裸奔”和艺术创造,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135494&idx=1&sn=ff9857e417238521edd74ad2ede54224&chksm=845a8b73b32d026526c5f5611fea7e3283b32a03b42d0726811d6c6f3b776f8c6eeb5eb18a10#rd
